Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,30,66464,3030574,Orange,Capistrano Unified,Aliso Niguel High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2773,519,18.70%,545,19.70%,2679,499,18.60%,522,19.50%,Y
2021-2022,30,66464,6111397,Orange,Capistrano Unified,Aliso Viejo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,783,168,21.50%,172,22.00%,783,168,21.50%,172,22.00%,Y
2021-2022,30,66464,6110852,Orange,Capistrano Unified,Arroyo Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,482,60,12.40%,62,12.90%,482,60,12.40%,62,12.90%,Y
2021-2022,30,66464,111914,Orange,Capistrano Unified,Arroyo Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,295,37,12.50%,39,13.20%,295,37,12.50%,39,13.20%,Y
2021-2022,30,66464,6111793,Orange,Capistrano Unified,Bathgate Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,619,133,21.50%,137,22.10%,604,126,20.90%,130,21.50%,Y
2021-2022,30,66464,6115406,Orange,Capistrano Unified,Bernice Ayer Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,803,228,28.40%,232,28.90%,803,228,28.40%,232,28.90%,Y
2021-2022,30,66464,3030798,Orange,Capistrano Unified,Bridges Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,7,12,9,5,55.60%,5,55.60%,8,4,50.00%,4,50.00%,Y
2021-2022,30,66464,106765,Orange,Capistrano Unified,California Connections Academy Southern California,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,664,Directly funded,Y,K,12,4868,2061,42.30%,2173,44.60%,4732,1993,42.10%,2104,44.50%,Y
2021-2022,30,66464,124131,Orange,Capistrano Unified,California Preparatory Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,9,12,295,61,20.70%,64,21.70%,285,61,21.40%,64,22.50%,Y
2021-2022,30,66464,100735,Orange,Capistrano Unified,Canyon Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,455,54,11.90%,55,12.10%,455,54,11.90%,55,12.10%,Y
2021-2022,30,66464,112748,Orange,Capistrano Unified,Capistrano Home/Virtual,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,8,329,71,21.60%,74,22.50%,329,71,21.60%,74,22.50%,Y
2021-2022,30,66464,3035987,Orange,Capistrano Unified,Capistrano Union High,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,136,87,64.00%,87,64.00%,127,81,63.80%,81,63.80%,Y
2021-2022,30,66464,3030210,Orange,Capistrano Unified,Capistrano Valley High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2077,550,26.50%,589,28.40%,1975,533,27.00%,569,28.80%,Y
2021-2022,30,66464,6098495,Orange,Capistrano Unified,Carl Hankey Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,307,113,36.80%,117,38.10%,307,113,36.80%,117,38.10%,Y
2021-2022,30,66464,115501,Orange,Capistrano Unified,Carl Hankey Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,198,78,39.40%,81,40.90%,198,78,39.40%,81,40.90%,Y
2021-2022,30,66464,6089452,Orange,Capistrano Unified,Castille Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,485,81,16.70%,83,17.10%,484,81,16.70%,83,17.10%,Y
2021-2022,30,66464,6118947,Orange,Capistrano Unified,Chaparral Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,671,61,9.10%,62,9.20%,656,60,9.10%,61,9.30%,Y
2021-2022,30,66464,6111819,Orange,Capistrano Unified,Clarence Lobo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,310,115,37.10%,118,38.10%,310,115,37.10%,118,38.10%,Y
2021-2022,30,66464,123729,Orange,Capistrano Unified,Community Roots Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1274,Directly funded,Y,K,8,745,67,9.00%,70,9.40%,745,67,9.00%,70,9.40%,Y
2021-2022,30,66464,6027585,Orange,Capistrano Unified,Concordia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,500,75,15.00%,84,16.80%,500,75,15.00%,84,16.80%,Y
2021-2022,30,66464,3038569,Orange,Capistrano Unified,Dana Hills High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2062,554,26.90%,581,28.20%,1952,533,27.30%,560,28.70%,Y
2021-2022,30,66464,6094619,Orange,Capistrano Unified,Del Obispo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,318,175,55.00%,183,57.50%,317,175,55.20%,183,57.70%,Y
2021-2022,30,66464,0,Orange,Capistrano Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,12,3,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2021-2022,30,66464,6117634,Orange,Capistrano Unified,Don Juan Avila Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,706,112,15.90%,118,16.70%,690,112,16.20%,118,17.10%,Y
2021-2022,30,66464,6117642,Orange,Capistrano Unified,Don Juan Avila Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,926,159,17.20%,172,18.60%,926,159,17.20%,172,18.60%,Y
2021-2022,30,66464,136762,Orange,Capistrano Unified,Esencia,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,793,49,6.20%,57,7.20%,776,49,6.30%,57,7.30%,Y
2021-2022,30,66464,138941,Orange,Capistrano Unified,Esencia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,220,26,11.80%,27,12.30%,220,26,11.80%,27,12.30%,Y
2021-2022,30,66464,6108740,Orange,Capistrano Unified,George White Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,444,122,27.50%,129,29.10%,426,118,27.70%,125,29.30%,Y
2021-2022,30,66464,6097398,Orange,Capistrano Unified,Harold Ambuehl Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,298,83,27.90%,85,28.50%,297,83,27.90%,85,28.60%,Y
2021-2022,30,66464,6111801,Orange,Capistrano Unified,Hidden Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,344,197,57.30%,214,62.20%,335,194,57.90%,210,62.70%,Y
2021-2022,30,66464,6111827,Orange,Capistrano Unified,John Malcom Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,477,90,18.90%,90,18.90%,476,89,18.70%,89,18.70%,Y
2021-2022,30,66464,6117758,Orange,Capistrano Unified,Journey,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,294,Directly funded,N,K,8,513,87,17.00%,94,18.30%,503,87,17.30%,94,18.70%,Y
2021-2022,30,66464,6117733,Orange,Capistrano Unified,Kinoshita Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,428,366,85.50%,370,86.40%,416,359,86.30%,363,87.30%,Y
2021-2022,30,66464,100909,Orange,Capistrano Unified,Ladera Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,603,68,11.30%,73,12.10%,586,65,11.10%,70,11.90%,Y
2021-2022,30,66464,100917,Orange,Capistrano Unified,Ladera Ranch Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,1284,117,9.10%,119,9.30%,1284,117,9.10%,119,9.30%,Y
2021-2022,30,66464,6120281,Orange,Capistrano Unified,Laguna Niguel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,370,67,18.10%,71,19.20%,369,67,18.20%,71,19.20%,Y
2021-2022,30,66464,6114516,Orange,Capistrano Unified,Las Flores Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,369,57,15.40%,57,15.40%,359,55,15.30%,55,15.30%,Y
2021-2022,30,66464,6117725,Orange,Capistrano Unified,Las Flores Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,645,80,12.40%,85,13.20%,645,80,12.40%,85,13.20%,Y
2021-2022,30,66464,6027601,Orange,Capistrano Unified,Las Palmas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,737,270,36.60%,285,38.70%,737,270,36.60%,285,38.70%,Y
2021-2022,30,66464,6118954,Orange,Capistrano Unified,Marblehead Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,266,104,39.10%,106,39.80%,250,97,38.80%,99,39.60%,Y
2021-2022,30,66464,6058929,Orange,Capistrano Unified,Marco Forster Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,1186,683,57.60%,708,59.70%,1186,683,57.60%,708,59.70%,Y
2021-2022,30,66464,6106801,Orange,Capistrano Unified,Marian Bergeson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,479,90,18.80%,92,19.20%,479,90,18.80%,92,19.20%,Y
2021-2022,30,66464,6095087,Orange,Capistrano Unified,Moulton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,547,108,19.70%,114,20.80%,547,108,19.70%,114,20.80%,Y
2021-2022,30,66464,6101125,Orange,Capistrano Unified,Newhart Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,1076,247,23.00%,261,24.30%,1076,247,23.00%,261,24.30%,Y
2021-2022,30,66464,6095095,Orange,Capistrano Unified,Niguel Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,752,203,27.00%,213,28.30%,752,203,27.00%,213,28.30%,Y
2021-2022,30,66464,1,Orange,Capistrano Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105,23,21.90%,24,22.90%,90,19,21.10%,19,21.10%,Y
2021-2022,30,66464,6113344,Orange,Capistrano Unified,Oak Grove Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,603,97,16.10%,99,16.40%,603,97,16.10%,99,16.40%,Y
2021-2022,30,66464,140061,Orange,Capistrano Unified,OCASA College Prep,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,2084,Directly funded,Y,6,12,129,29,22.50%,29,22.50%,129,29,22.50%,29,22.50%,Y
2021-2022,30,66464,6120356,Orange,Capistrano Unified,Opportunities for Learning - Capistrano,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,463,Directly funded,Y,K,12,95,37,38.90%,49,51.60%,62,25,40.30%,34,54.80%,Y
2021-2022,30,66464,108704,Orange,Capistrano Unified,Oso Grande Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,901,48,5.30%,50,5.50%,901,48,5.30%,50,5.50%,Y
2021-2022,30,66464,124743,Orange,Capistrano Unified,Oxford Preparatory Academy - South Orange County,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1324,Directly funded,Y,K,8,870,118,13.60%,123,14.10%,851,115,13.50%,120,14.10%,Y
2021-2022,30,66464,6027627,Orange,Capistrano Unified,Palisades Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,385,124,32.20%,131,34.00%,364,118,32.40%,125,34.30%,Y
2021-2022,30,66464,6109474,Orange,Capistrano Unified,Philip J. Reilly Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,397,58,14.60%,64,16.10%,395,57,14.40%,63,15.90%,Y
2021-2022,30,66464,6027635,Orange,Capistrano Unified,Richard Henry Dana Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,253,131,51.80%,134,53.00%,253,131,51.80%,134,53.00%,Y
2021-2022,30,66464,6117881,Orange,Capistrano Unified,Richard Henry Dana Exceptional Needs,Unified School District,Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,K,6,40,9,22.50%,9,22.50%,39,9,23.10%,9,23.10%,Y
2021-2022,30,66464,3036001,Orange,Capistrano Unified,San Clemente High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2904,663,22.80%,709,24.40%,2768,647,23.40%,692,25.00%,Y
2021-2022,30,66464,6027643,Orange,Capistrano Unified,San Juan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,681,424,62.30%,432,63.40%,681,424,62.30%,432,63.40%,Y
2021-2022,30,66464,113381,Orange,Capistrano Unified,San Juan Hills High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2939,723,24.60%,766,26.10%,2844,709,24.90%,749,26.30%,Y
2021-2022,30,66464,6097406,Orange,Capistrano Unified,Shorecliffs Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,766,231,30.20%,246,32.10%,766,231,30.20%,246,32.10%,Y
2021-2022,30,66464,3030756,Orange,Capistrano Unified,Tesoro High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2268,259,11.40%,273,12.00%,2189,250,11.40%,264,12.10%,Y
2021-2022,30,66464,6117741,Orange,Capistrano Unified,Tijeras Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,312,35,11.20%,35,11.20%,300,34,11.30%,34,11.30%,Y
2021-2022,30,66464,6106819,Orange,Capistrano Unified,Truman Benedict Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,634,73,11.50%,76,12.00%,614,67,10.90%,69,11.20%,Y
2021-2022,30,66464,6068589,Orange,Capistrano Unified,Viejo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,470,186,39.60%,205,43.60%,470,186,39.60%,205,43.60%,Y
2021-2022,30,66464,100883,Orange,Capistrano Unified,Vista del Mar Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,789,89,11.30%,91,11.50%,789,89,11.30%,91,11.50%,Y
2021-2022,30,66464,100891,Orange,Capistrano Unified,Vista del Mar Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,575,52,9.00%,55,9.60%,575,52,9.00%,55,9.60%,Y
2021-2022,30,66464,6114524,Orange,Capistrano Unified,Wagon Wheel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,424,27,6.40%,28,6.60%,424,27,6.40%,28,6.60%,Y
2021-2022,30,66464,6111835,Orange,Capistrano Unified,Wood Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,448,165,36.80%,170,37.90%,418,157,37.60%,162,38.80%,Y
2021-2022,30,66472,6027668,Orange,Centralia Elementary,Buena Terra Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,570,219,38.40%,338,59.30%,570,219,38.40%,338,59.30%,Y
2021-2022,30,66472,6027676,Orange,Centralia Elementary,Centralia Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,P,6,403,306,75.90%,352,87.30%,399,303,75.90%,348,87.20%,Y
2021-2022,30,66472,6027684,Orange,Centralia Elementary,Danbrook Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,P,6,464,402,86.60%,443,95.50%,432,381,88.20%,416,96.30%,Y
2021-2022,30,66472,6027692,Orange,Centralia Elementary,George B. Miller Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,548,202,36.90%,282,51.50%,521,196,37.60%,271,52.00%,Y
2021-2022,30,66472,6027700,Orange,Centralia Elementary,Glen H. Dysinger Sr. Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,497,222,44.70%,290,58.40%,472,214,45.30%,280,59.30%,Y
2021-2022,30,66472,6066823,Orange,Centralia Elementary,Los Coyotes Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,599,128,21.40%,202,33.70%,596,126,21.10%,200,33.60%,Y
2021-2022,30,66472,1,Orange,Centralia Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,50.00%,2,50.00%,4,2,50.00%,2,50.00%,Y
2021-2022,30,66472,6027734,Orange,Centralia Elementary,Raymond Temple Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,P,6,494,251,50.80%,356,72.10%,456,235,51.50%,334,73.20%,Y
2021-2022,30,66472,6027742,Orange,Centralia Elementary,San Marino Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,P,6,498,286,57.40%,380,76.30%,498,286,57.40%,380,76.30%,Y
2021-2022,30,66480,6027767,Orange,Cypress Elementary,A. E. Arnold Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,591,226,38.20%,311,52.60%,591,226,38.20%,311,52.60%,Y
2021-2022,30,66480,6027791,Orange,Cypress Elementary,Clara J. King Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,495,268,54.10%,347,70.10%,483,262,54.20%,339,70.20%,Y
2021-2022,30,66480,6027833,Orange,Cypress Elementary,Frank Vessels Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,631,173,27.40%,240,38.00%,631,173,27.40%,240,38.00%,Y
2021-2022,30,66480,6027841,Orange,Cypress Elementary,Juliet Morris Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,611,166,27.20%,204,33.40%,594,160,26.90%,198,33.30%,Y
2021-2022,30,66480,6027858,Orange,Cypress Elementary,Margaret Landell Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,718,118,16.40%,191,26.60%,718,118,16.40%,191,26.60%,Y
2021-2022,30,66480,1,Orange,Cypress Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,40.00%,2,40.00%,5,2,40.00%,2,40.00%,Y
2021-2022,30,66480,6027874,Orange,Cypress Elementary,Steve Luther Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,363,132,36.40%,179,49.30%,352,130,36.90%,176,50.00%,Y
2021-2022,30,66498,6094635,Orange,Fountain Valley Elementary,Courreges (Roch) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,673,120,17.80%,126,18.70%,673,120,17.80%,126,18.70%,Y
2021-2022,30,66498,6066922,Orange,Fountain Valley Elementary,Cox (James H.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,627,163,26.00%,168,26.80%,627,163,26.00%,168,26.80%,Y
2021-2022,30,66498,6027916,Orange,Fountain Valley Elementary,Fulton (Harry C.) Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,708,111,15.70%,113,16.00%,708,111,15.70%,113,16.00%,Y
2021-2022,30,66498,6027973,Orange,Fountain Valley Elementary,Gisler (Robert) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,497,105,21.10%,105,21.10%,485,102,21.00%,102,21.00%,Y
2021-2022,30,66498,6094627,Orange,Fountain Valley Elementary,Masuda (Kazuo) Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,749,205,27.40%,213,28.40%,749,205,27.40%,213,28.40%,Y
2021-2022,30,66498,6027999,Orange,Fountain Valley Elementary,Newland (William T.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,489,62,12.70%,63,12.90%,488,62,12.70%,63,12.90%,Y
2021-2022,30,66498,1,Orange,Fountain Valley Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,2,33.30%,2,33.30%,6,2,33.30%,2,33.30%,Y
2021-2022,30,66498,6068605,Orange,Fountain Valley Elementary,Oka (Isojiro) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,502,109,21.70%,113,22.50%,489,107,21.90%,111,22.70%,Y
2021-2022,30,66498,6085278,Orange,Fountain Valley Elementary,Plavan (Urbain H.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,519,150,28.90%,152,29.30%,508,148,29.10%,150,29.50%,Y
2021-2022,30,66498,6071096,Orange,Fountain Valley Elementary,Talbert (Samuel E.) Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,726,129,17.80%,130,17.90%,726,129,17.80%,130,17.90%,Y
2021-2022,30,66498,6027924,Orange,Fountain Valley Elementary,Tamura (Hisamatsu) Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,502,99,19.70%,103,20.50%,491,98,20.00%,102,20.80%,Y
2021-2022,30,66506,6028005,Orange,Fullerton Elementary,Acacia Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,689,137,19.90%,212,30.80%,689,137,19.90%,212,30.80%,Y
2021-2022,30,66506,6028013,Orange,Fullerton Elementary,Beechwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,8,800,140,17.50%,208,26.00%,800,140,17.50%,208,26.00%,Y
2021-2022,30,66506,6028021,Orange,Fullerton Elementary,Commonwealth Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,310,218,70.30%,272,87.70%,309,217,70.20%,271,87.70%,Y
2021-2022,30,66506,6085286,Orange,Fullerton Elementary,D. Russell Parks Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,7,8,851,305,35.80%,414,48.60%,851,305,35.80%,414,48.60%,Y
2021-2022,30,66506,0,Orange,Fullerton Elementary,District Office,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,8,2,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,Y
2021-2022,30,66506,6028039,Orange,Fullerton Elementary,Fern Drive Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,417,139,33.30%,213,51.10%,393,131,33.30%,202,51.40%,Y
2021-2022,30,66506,6028054,Orange,Fullerton Elementary,Golden Hill Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,625,143,22.90%,205,32.80%,603,140,23.20%,199,33.00%,Y
2021-2022,30,66506,6028062,Orange,Fullerton Elementary,Hermosa Drive Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,317,128,40.40%,168,53.00%,317,128,40.40%,168,53.00%,Y
2021-2022,30,66506,6028070,Orange,Fullerton Elementary,Ladera Vista Junior High School of the Arts,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,7,8,855,385,45.00%,498,58.20%,855,385,45.00%,498,58.20%,Y
2021-2022,30,66506,6028088,Orange,Fullerton Elementary,Laguna Road Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,561,93,16.60%,140,25.00%,561,93,16.60%,140,25.00%,Y
2021-2022,30,66506,6113617,Orange,Fullerton Elementary,Maple Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,338,265,78.40%,311,92.00%,328,257,78.40%,303,92.40%,Y
2021-2022,30,66506,6028104,Orange,Fullerton Elementary,Nicolas Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,7,8,632,451,71.40%,541,85.60%,632,451,71.40%,541,85.60%,Y
2021-2022,30,66506,1,Orange,Fullerton Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2021-2022,30,66506,6028112,Orange,Fullerton Elementary,Orangethorpe Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,583,376,64.50%,485,83.20%,570,368,64.60%,474,83.20%,Y
2021-2022,30,66506,6028120,Orange,Fullerton Elementary,Pacific Drive Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,588,399,67.90%,499,84.90%,573,389,67.90%,485,84.60%,Y
2021-2022,30,66506,6028138,Orange,Fullerton Elementary,Raymond Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,592,288,48.60%,378,63.90%,573,283,49.40%,371,64.70%,Y
2021-2022,30,66506,6028146,Orange,Fullerton Elementary,Richman Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,516,353,68.40%,436,84.50%,505,348,68.90%,431,85.30%,Y
2021-2022,30,66506,102582,Orange,Fullerton Elementary,Robert C. Fisler Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,8,843,173,20.50%,242,28.70%,843,173,20.50%,242,28.70%,Y
2021-2022,30,66506,6028153,Orange,Fullerton Elementary,Rolling Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,601,202,33.60%,284,47.30%,580,196,33.80%,274,47.20%,Y
2021-2022,30,66506,6028161,Orange,Fullerton Elementary,Sunset Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,779,206,26.40%,296,38.00%,733,194,26.50%,277,37.80%,Y
2021-2022,30,66506,6028179,Orange,Fullerton Elementary,Valencia Park Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,444,368,82.90%,420,94.60%,443,368,83.10%,419,94.60%,Y
